,image,label
0,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000021.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000021.png
1,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000022.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000022.png
2,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000023.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000023.png
3,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000024.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000024.png
4,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000025.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000025.png
5,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000026.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000026.png
6,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000027.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000027.png
7,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000028.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000028.png
8,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000029.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000029.png
9,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000030.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000030.png
10,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000031.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000031.png
11,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000032.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000032.png
12,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000033.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000033.png
13,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000034.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000034.png
14,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000035.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000035.png
15,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000036.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000036.png
16,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000037.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000037.png
17,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000038.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000038.png
18,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000039.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000039.png
19,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000040.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000040.png
20,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000041.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000041.png
21,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000042.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000042.png
22,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000043.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000043.png
23,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000044.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000044.png
24,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000045.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000045.png
25,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000046.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000046.png
26,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000047.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000047.png
27,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000048.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000048.png
28,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000049.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000049.png
29,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000050.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000050.png
30,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000051.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000051.png
31,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000052.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000052.png
32,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000053.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000053.png
33,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000054.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000054.png
34,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000055.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000055.png
35,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000056.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000056.png
36,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000057.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000057.png
37,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000058.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000058.png
38,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000059.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000059.png
39,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000060.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000060.png
40,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000061.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000061.png
41,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000062.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000062.png
42,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000063.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000063.png
43,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000064.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000064.png
44,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000065.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000065.png
45,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000066.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000066.png
46,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000067.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000067.png
47,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000068.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000068.png
48,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000069.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000069.png
49,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000070.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000070.png
50,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000071.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000071.png
51,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000072.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000072.png
52,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000073.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000073.png
53,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000074.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000074.png
54,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000075.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000075.png
55,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000076.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000076.png
56,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000077.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000077.png
57,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000078.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000078.png
58,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000079.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000079.png
59,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000080.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000080.png
60,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000081.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000081.png
61,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000082.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000082.png
62,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000083.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000083.png
63,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000084.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000084.png
64,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000085.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000085.png
65,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000086.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000086.png
66,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000087.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000087.png
67,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000088.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000088.png
68,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000089.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000089.png
69,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000090.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000090.png
70,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000091.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000091.png
71,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000092.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000092.png
72,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000093.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000093.png
73,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000094.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000094.png
74,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000095.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000095.png
75,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000096.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000096.png
76,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000097.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000097.png
77,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000098.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000098.png
78,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000099.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000099.png
79,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000100.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000100.png
80,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000101.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000101.png
81,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000102.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000102.png
82,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000103.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000103.png
83,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000104.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000104.png
84,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000105.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000105.png
85,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000106.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000106.png
86,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000107.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000107.png
87,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000108.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000108.png
88,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000109.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000109.png
89,train/input/AFAwNiInclusionsAndFilledDefects_pair_1_000110.png,train/class_2/AFAwNiInclusionsAndFilledDefects_pair_1_000110.png
